"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
2 "WALKING_DOWNSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 31 -0.127144155377419
2 "WALKING_DOWNSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 31 -0.41278562
2 "WALKING_DOWNSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 31 0.00334824889354839
2 "WALKING_DOWNSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 31 -0.105763533558065
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 26 0.0420931393846154
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 26 -0.169067787757692
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 26 0.0698947516192308
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 26 -0.550608546153846
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 26 -0.0429668915153846
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 26 -0.522103765
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 26 -0.165615270053846
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 26 -0.181373001646154
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 26 -0.110691014230769
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 26 -0.0391763784961538
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 26 -0.0467316225730769
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 26 -0.63441885
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 26 -0.619630156153846
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 26 -0.622562525769231
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 26 -0.614974361923077
2 "WALKING_UPSTAIRS" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 26 -0.659463011538462
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 26 0.262390563461538
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 26 -0.0245333658115385
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 26 -0.100401651076923
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 26 -0.381037506153846
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 26 -0.0482313111730769
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 26 -0.0315680211615385
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 26 -0.158013555923077
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 26 -0.350710268846154
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 26 0.127886113288462
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 26 0.0175116667307692
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 26 -0.0783041399230769
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 26 -0.477235374615385
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 26 -0.405386210384615
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 26 -0.716778916923077
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 26 -0.490636396923077
2 "WALKING_UPSTAIRS" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 26 -0.508082286923077
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 26 0.906003290384615
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 26 -0.337704294615385
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 26 -0.0541454797307692
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 26 -0.956269148461538
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 26 -0.954738093461538
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 26 -0.907178591923077
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 26 -0.158013555923077
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 26 -0.350710268846154
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 26 -0.495685779230769
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 26 -0.328657714230769
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 26 -0.469625823461538
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 26 -0.5721627
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 26 0.0888676290384615
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 26 -0.584609061153846
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 26 -0.350990914615385
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 26 -0.214765537230769
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 26 -0.648562445384615
2 "WALKING_UPSTAIRS" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 26 -0.699495842692308
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 26 -0.427255923461538
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 26 -0.216957660626923
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 26 -0.428717743076923
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 26 -0.365394818846154
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 26 -0.0301687723384615
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 26 0.0690231517230769
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 26 -0.373989073461538
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 26 -0.440244587307692
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 26 -0.506236508076923
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 26 -0.439442387307692
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 26 -0.691453345
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 26 -0.493864093076923
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 26 -0.408001117307692
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 26 -0.740737201538462
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 26 -0.470819905
2 "WALKING_UPSTAIRS" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 26 -0.563456927692308
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 71 -0.0234756467113239
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 71 -0.0944580192535211
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 71 0.111440490309859
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 71 -0.975893061830986
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 71 -0.971484336197183
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 71 -0.976200771267606
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 71 -0.960733121690141
3 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 71 -0.959325498732394
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 71 -0.102049763957746
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 71 -0.0361961143943662
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 71 -0.0604927046338028
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 71 -0.980792372112676
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 71 -0.983135596619718
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 71 -0.988221713380282
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 71 -0.985542411126761
3 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 71 -0.982038121126761
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 71 0.269780085577465
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 71 -0.0168462006729577
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 71 -0.107006279704225
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 71 -0.972960567323944
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 71 -0.944792875211268
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 71 -0.953476700140845
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 71 -0.953021411126761
3 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 71 -0.948257993521127
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 71 0.077908974656338
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 71 0.00706867100408451
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 71 -0.000143542544507042
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 71 -0.981489017183098
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 71 -0.976960542816901
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 71 -0.98281300056338
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 71 -0.981607627887324
3 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 71 -0.980126745352113
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 71 -0.19913309
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 71 0.658792072253521
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 71 0.722657502112676
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 71 -0.961063222394366
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 71 -0.961466681267606
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 71 -0.957164565211268
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 71 -0.953021411126761
3 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 71 -0.948257993521127
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 71 -0.971949211126761
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 71 -0.973669098591549
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 71 -0.976164852112676
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 71 -0.977203498309859
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 71 -0.970627806901408
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 71 -0.978357126056338
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 71 -0.969014444788732
3 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 71 -0.96002383915493
3 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 71 -0.982765526478873
3 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 71 -0.981983437605634
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 71 -0.974359280140845
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 71 -0.954648102253521
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 71 -0.965406091549296
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 71 -0.972438525352113
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 71 -0.942791615915493
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 71 -0.950116956478873
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 71 -0.961046326338028
3 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 71 -0.949042531690141
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 71 -0.98147206915493
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 71 -0.977212387746479
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 71 -0.98038005915493
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 71 -0.983213244366197
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 71 -0.978343915774648
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 71 -0.983854158873239
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 71 -0.979687318732394
3 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 71 -0.979657231408451
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 50 -0.04551454736
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.060631989638
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 50 0.080673760832
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.9881827872
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9847996986
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 50 -0.9773091226
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 50 -0.9623725244
3 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 50 -0.9718183456
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 50 -0.09399360736
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 50 -0.04246011294
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 50 -0.050451904972
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 50 -0.9950928354
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 50 -0.9949295042
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 50 -0.9932425202
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 50 -0.9961284476
3 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 50 -0.9943420812
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 50 0.2764961986
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 50 -0.016623368934
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 50 -0.11549691672
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.994594467
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.9638644736
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.9644314274
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.9732503482
3 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.9663853906
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 50 0.07578907156
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 50 0.0075075498052
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 50 0.0014528393936
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 50 -0.9940735222
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 50 -0.9886698018
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 50 -0.9907651174
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 50 -0.992841159
3 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 50 -0.991506865
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 50 0.9401419428
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 50 -0.0198362108
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 50 -0.14409671375
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.9905701052
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.9694403618
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.9555533722
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.9732503482
3 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.9663853906
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 50 -0.9870603934
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 50 -0.9879699212
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 50 -0.97967172
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 50 -0.9885565164
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 50 -0.9832255492
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 50 -0.9786666628
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 50 -0.9813425596
3 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 50 -0.9708029992
3 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 50 -0.9950952876
3 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 50 -0.9935300056
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.9940958718
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 50 -0.9701759018
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 50 -0.974502007
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 50 -0.9948115552
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 50 -0.9622315868
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 50 -0.961257043
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 50 -0.9741065602
3 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 50 -0.9667328554
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 50 -0.9943072866
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 50 -0.9883839332
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 50 -0.9890826528
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 50 -0.9943360348
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 50 -0.9899198258
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 50 -0.9910358892
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 50 -0.9915767148
3 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 50 -0.9902681426
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 65 -0.0269929620830769
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 65 -0.0752022153692308
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 65 0.0794571227384615
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 65 -0.968649376769231
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 65 -0.979476561692308
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 65 -0.97661994
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 65 -0.964484570923077
3 "STANDING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 65 -0.964754059538461
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 65 -0.100847323953846
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 65 -0.0402927054153846
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 65 -0.0547460030615385
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 65 -0.97898724
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 65 -0.990658643384616
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 65 -0.985194765076923
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 65 -0.988925433384615
3 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 65 -0.985036531230769
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 65 0.279110409230769
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 65 -0.0164282628415385
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 65 -0.111110627816462
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 65 -0.989368676153846
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 65 -0.953969800461538
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 65 -0.957730703076923
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 65 -0.968016942307692
3 "STANDING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 65 -0.964891734769231
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 65 0.0735695288153846
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 65 0.00642064560323077
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 65 -0.00304619514923077
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 65 -0.987453913076923
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 65 -0.976318117384615
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 65 -0.988083436769231
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 65 -0.986769841692308
3 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 65 -0.981547146
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 65 0.926316147230769
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 65 -0.298601537538462
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 65 0.0148460273076923
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 65 -0.986776132307692
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 65 -0.971921652307692
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 65 -0.960172666615385
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 65 -0.968016942307692
3 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 65 -0.964891734769231
3 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 65 -0.965953122307692
3 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 65 -0.982200955846154
3 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 65 -0.975803812307692
